CommentID,Username,Date,CommentText,Variety,Name
1,harvest_hustler,2023-04-07,How long does it take to germinate?,Pot,Marjoram
2,green_thumb,2023-11-10,This variety has been great for me!,Lemon,Cucumber
3,seed_sower,2024-05-15,What companions work best with this crop?,Red Leaf,Lettuce
4,plant_prodigy,2023-02-06,Any tips for improving yield?,Thai,Basil
5,eco_planter,2023-06-25,Can I grow this indoors?,Ichiban,Eggplant
6,sprout_sage,2024-02-08,What is the best time to plant this crop?,Red Express,Cabbage
7,soil_scholar,2023-12-16,How do I know when to harvest?,Early Purple Vienna,Kohlrabi
8,field_fanatic,2023-04-03,What are common issues with this crop?,Early White,Cauliflower
9,veggie_viking,2023-04-28,Any tips for preventing pests on this variety?,Ichiban,Eggplant
10,crop_connoisseur,2023-11-23,Any tips for preventing pests on this variety?,Jalapeno,Peppers
11,plant_pro,2023-09-10,How often should I water this plant?,White Lisbon,Onion
12,garden_giant,2023-04-04,What are the best conditions for growing this crop?,Thai,Basil
13,garden_giant,2023-06-04,I noticed my plants have pests. Any tips?,Sweet Chocolate,Bell Pepper
14,grow_genius,2023-10-06,How do I know when to harvest?,Lemon,Cucumber
15,flora_freak,2023-08-11,How often should I water this plant?,Clemson Spineless,Okra
16,plant_pro,2023-02-10,Any tips for improving yield?,Sugar Baby,Watermelon
17,green_guardian,2024-05-09,Can I plant this next to beans?,Walla Walla,Onion
18,veggie_viking,2023-05-08,How much sunlight does this plant need?,Red Burgundy,Onion
19,soil_savant,2023-04-29,How do you prepare the soil for this crop?,Dark Opal,Basil
20,eco_expert,2024-04-21,What are common issues with this crop?,Dark Opal,Basil
21,seed_sower,2023-01-08,How do I know when to harvest?,Leisure,Cilantro
22,crop_caretaker,2023-02-24,What are common issues with this crop?,Lemon,Cucumber
23,green_genius,2024-03-14,What companions work best with this crop?,Calabrese,Broccoli
24,flora_freak,2024-01-02,Is this variety resistant to pests?,Jack-O-Lantern,Pumpkin
25,harvest_queen,2023-01-23,How long does it take to germinate?,Cocozelle,Zucchini
26,plant_professor,2023-04-13,How long does it take to germinate?,Butterhead,Lettuce
27,veggie_viking,2023-01-13,How do I know when to harvest?,Siberian,Chives
28,eco_planter,2023-05-28,Any tips for improving yield?,Salem,Rosemary
29,soil_savant,2023-08-14,I noticed my plants have pests. Any tips?,Pineapple Mint,Mint
30,flora_freak,2024-03-11,Is this variety resistant to pests?,Genovese,Basil
31,eco_planter,2023-07-04,Any tips for improving yield?,Romaine,Lettuce
32,seed_savant,2023-09-03,What are the best conditions for growing this crop?,Beefsteak,Tomato
33,field_fan,2023-11-08,How often should I water this plant?,Siberian,Chives
34,organic_enthusiast,2023-07-19,Has anyone had success growing this variety?,Pot,Marjoram
