Crop,Variety,Germination Period,Water Needs,Fertilization Needs,Sun Requirements,Common Pests,Growing Season,Companion Plants
Tomato,Cherry,5-10 days,Moderate,Monthly feeding with balanced fertilizer,Full Sun (6-8 hours),"Aphids, Tomato Hornworms","Spring, Summer","Basil, Carrots, Marigold"
Tomato,Heirloom,5-10 days,Moderate,Monthly feeding with balanced fertilizer,Full Sun (6-8 hours),"Aphids, Tomato Hornworms","Spring, Summer","Basil, Carrots, Marigold"
Tomato,Beefsteak,5-10 days,Moderate,Monthly feeding with balanced fertilizer,Full Sun (6-8 hours),"Aphids, Tomato Hornworms","Spring, Summer","Basil, Carrots, Marigold"
Basil,Sweet,5-10 days,Moderate,Light monthly feeding,Full Sun (6-8 hours),"Aphids, Japanese Beetles","Spring, Summer","Tomato, Peppers, Oregano"
Basil,Thai,5-10 days,Moderate,Light monthly feeding,Full Sun (6-8 hours),"Aphids, Japanese Beetles","Spring, Summer","Tomato, Peppers, Oregano"
Basil,Lemon,5-10 days,Moderate,Light monthly feeding,Full Sun (6-8 hours),"Aphids, Japanese Beetles","Spring, Summer","Tomato, Peppers, Oregano"
Carrot,Nantes,10-21 days,Moderate,Light feeding with phosphorus,Full Sun (6-8 hours),"Carrot Rust Fly, Aphids","Spring, Fall","Tomatoes, Peas, Lettuce"
Carrot,Imperator,10-21 days,Moderate,Light feeding with phosphorus,Full Sun (6-8 hours),"Carrot Rust Fly, Aphids","Spring, Fall","Tomatoes, Peas, Lettuce"
Carrot,Danvers,10-21 days,Moderate,Light feeding with phosphorus,Full Sun (6-8 hours),"Carrot Rust Fly, Aphids","Spring, Fall","Tomatoes, Peas, Lettuce"
Lettuce,Romaine,7-10 days,High,Balanced fertilizer every 2 weeks,Partial Shade (4-6 hours),"Aphids, Slugs, Snails","Spring, Fall","Carrots, Radishes, Strawberries"
Lettuce,Butterhead,7-10 days,High,Balanced fertilizer every 2 weeks,Partial Shade (4-6 hours),"Aphids, Slugs, Snails","Spring, Fall","Carrots, Radishes, Strawberries"
Lettuce,Iceberg,7-10 days,High,Balanced fertilizer every 2 weeks,Partial Shade (4-6 hours),"Aphids, Slugs, Snails","Spring, Fall","Carrots, Radishes, Strawberries"
Bell Pepper,California Wonder,7-10 days,Moderate,Balanced fertilizer every 2-4 weeks,Full Sun (6-8 hours),"Aphids, Spider Mites","Summer, Early Fall","Basil, Onions, Spinach"
Bell Pepper,Purple Beauty,7-10 days,Moderate,Balanced fertilizer every 2-4 weeks,Full Sun (6-8 hours),"Aphids, Spider Mites","Summer, Early Fall","Basil, Onions, Spinach"
Bell Pepper,Red Knight,7-10 days,Moderate,Balanced fertilizer every 2-4 weeks,Full Sun (6-8 hours),"Aphids, Spider Mites","Summer, Early Fall","Basil, Onions, Spinach"
