CommentID,Username,Date,CommentText,CropVariety
1,harvest_hustler,2023-04-07,How long does it take to germinate?,Pot
2,green_thumb,2023-11-10,This variety has been great for me!,Lemon
3,seed_sower,2024-05-15,What companions work best with this crop?,Red Leaf
4,plant_prodigy,2023-02-06,Any tips for improving yield?,Thai
5,eco_planter,2023-06-25,Can I grow this indoors?,Ichiban
6,sprout_sage,2024-02-08,What is the best time to plant this crop?,Red Express
7,soil_scholar,2023-12-16,How do I know when to harvest?,Early Purple Vienna
8,field_fanatic,2023-04-03,What are common issues with this crop?,Early White
9,veggie_viking,2023-04-28,Any tips for preventing pests on this variety?,Ichiban
10,crop_connoisseur,2023-11-23,Any tips for preventing pests on this variety?,Jalapeno
11,plant_pro,2023-09-10,How often should I water this plant?,White Lisbon
12,garden_giant,2023-04-04,What are the best conditions for growing this crop?,Thai
13,garden_giant,2023-06-04,I noticed my plants have pests. Any tips?,Sweet Chocolate
14,grow_genius,2023-10-06,How do I know when to harvest?,Lemon
15,flora_freak,2023-08-11,How often should I water this plant?,Clemson Spineless
16,plant_pro,2023-02-10,Any tips for improving yield?,Sugar Baby
17,green_guardian,2024-05-09,Can I plant this next to beans?,Walla Walla
18,veggie_viking,2023-05-08,How much sunlight does this plant need?,Red Burgundy
19,soil_savant,2023-04-29,How do you prepare the soil for this crop?,Dark Opal
20,eco_expert,2024-04-21,What are common issues with this crop?,Dark Opal
21,seed_sower,2023-01-08,How do I know when to harvest?,Leisure
22,crop_caretaker,2023-02-24,What are common issues with this crop?,Lemon
23,green_genius,2024-03-14,What companions work best with this crop?,Calabrese
24,flora_freak,2024-01-02,Is this variety resistant to pests?,Jack-O-Lantern
25,harvest_queen,2023-01-23,How long does it take to germinate?,Cocozelle
26,plant_professor,2023-04-13,How long does it take to germinate?,Butterhead
27,veggie_viking,2023-01-13,How do I know when to harvest?,Siberian
28,eco_planter,2023-05-28,Any tips for improving yield?,Salem
29,soil_savant,2023-08-14,I noticed my plants have pests. Any tips?,Pineapple Mint
30,flora_freak,2024-03-11,Is this variety resistant to pests?,Genovese
31,eco_planter,2023-07-04,Any tips for improving yield?,Romaine
32,seed_savant,2023-09-03,What are the best conditions for growing this crop?,Beefsteak
33,field_fan,2023-11-08,How often should I water this plant?,Siberian
34,organic_enthusiast,2023-07-19,Has anyone had success growing this variety?,Pot
35,field_fanatic,2023-04-29,What is the best time to plant this crop?,Nantes
36,crop_master,2023-05-07,Can I grow this indoors?,Detroit Dark Red
37,garden_guru,2024-02-17,Any tips for improving yield?,Butterhead
38,root_reaper,2023-08-23,Any tips for improving yield?,Moon and Stars
39,leaf_lord,2023-11-02,This variety has been great for me!,Fairy Tale
40,field_fanatic,2024-03-12,I noticed my plants have pests. Any tips?,Charleston Gray
41,garden_giant,2023-08-05,What soil type is best for this variety?,Chioggia
42,field_fan,2023-11-19,Has anyone had success growing this variety?,Frisee
43,earth_expert,2023-11-09,What are common issues with this crop?,Jack O'Lantern
44,seed_sower,2023-12-06,What are the best conditions for growing this crop?,Purple of Sicily
45,sprout_sage,2023-11-03,What companions work best with this crop?,De Cicco
46,harvest_hero,2023-06-05,How often should I water this plant?,Charleston Gray
47,eco_expert,2023-05-13,How do I know when to harvest?,Caraway
48,soil_savant,2024-05-20,Can I grow this indoors?,Slow Bolting
49,garden_guru,2024-01-08,Any tips for preventing pests on this variety?,French
50,leaf_lord,2023-06-26,How do you prepare the soil for this crop?,Zucchini Gold Rush
51,grow_genius,2023-05-18,What soil type is best for this variety?,Honeydew
52,garden_guru,2023-04-11,Can I plant this next to beans?,White Vienna
53,eco_expert,2023-05-24,What are common issues with this crop?,Lacinato
54,eco_expert,2023-03-29,This variety has been great for me!,Spearmint
55,earth_enthusiast,2023-06-07,This variety has been great for me!,Leisure
56,harvest_hustler,2023-07-06,What soil type is best for this variety?,Spearmint
57,crop_champion,2023-09-07,How do I know when to harvest?,Golden
58,harvest_hero,2023-06-18,What companions work best with this crop?,Daikon
59,eco_elite,2024-03-31,This variety has been great for me!,Nantes
60,grow_guru,2023-04-12,What is the best time to plant this crop?,Curled
61,crop_caretaker,2023-01-15,How do I know when to harvest?,Savoy
62,plant_prodigy,2023-10-18,What companions work best with this crop?,Little Finger
63,flora_fan,2024-05-08,This variety has been great for me!,Siberian
64,eco_expert,2024-01-24,Any tips for improving yield?,Boston Pickling
65,garden_giant,2024-02-01,How do I know when to harvest?,Spearmint
66,grow_genius,2023-08-25,This variety has been great for me!,Purple
67,green_genius,2024-01-24,How do you prepare the soil for this crop?,Ruby Red
68,harvest_queen,2024-01-18,Has anyone had success growing this variety?,Romaine
69,crop_champion,2023-07-28,How do you prepare the soil for this crop?,Genovese
70,plant_prodigy,2023-06-26,What are the best conditions for growing this crop?,Astro
71,crop_champion,2023-10-08,This variety has been great for me!,English
72,leaf_lord,2023-11-29,Any tips for preventing pests on this variety?,Green Zebra
73,farm_fanatic,2024-05-11,What is the best time to plant this crop?,Red Cardinal
74,eco_elite,2023-04-01,How long does it take to germinate?,Chioggia
75,field_fanatic,2023-03-11,How often should I water this plant?,Slow Bolting
76,soil_savant,2024-04-01,Can someone recommend a good fertilizer for this crop?,Red Russian
77,seed_savant,2023-06-20,What is the best time to plant this crop?,Garden
78,seed_sower,2023-11-08,How long does it take to germinate?,Cubanelle
79,garden_guru,2023-07-21,What companions work best with this crop?,English
80,flora_fanatic,2023-07-19,How long does it take to germinate?,Red Russian
81,garden_genius,2023-06-09,What are the best conditions for growing this crop?,Habanero
82,crop_cultivator,2024-04-12,Can I grow this indoors?,Southern Giant Curled
83,plant_prodigy,2023-05-15,What are common issues with this crop?,Calabrese
84,garden_geek,2024-05-28,How do you prepare the soil for this crop?,Crimson Sweet
85,veggie_viking,2023-08-25,Can I grow this indoors?,Savoy
86,earth_expert,2023-01-03,Can I plant this next to beans?,Jack O'Lantern
87,farm_fanatic,2023-05-09,What soil type is best for this variety?,Sugar Snap
88,plant_pro,2023-02-16,This variety has been great for me!,Mizuna
89,flora_fan,2023-04-03,Has anyone had success growing this variety?,Moon and Stars
90,flora_fan,2023-04-19,How long does it take to germinate?,Red Burgundy
91,eco_expert,2024-01-13,Any tips for improving yield?,Marketmore
92,flora_freak,2023-12-18,Can I plant this next to beans?,Lemon
93,farm_fanatic,2023-12-05,What are the best conditions for growing this crop?,Santo
94,garden_guru,2023-05-29,Is this variety resistant to pests?,Snow
95,crop_connoisseur,2023-12-03,Does this variety need a lot of water?,Purple Top
96,root_reaper,2023-04-20,How long does it take to germinate?,Tokyo Cross
97,garden_genius,2023-07-29,How often should I water this plant?,White Icicle
98,root_reaper,2024-05-21,What companions work best with this crop?,Slow Bolt
99,flora_fan,2023-04-25,What soil type is best for this variety?,Fairy Tale
100,flora_freak,2024-03-27,This variety has been great for me!,Curled
